id,Community_Name,COMM_CODE,Year,Avg_Resident_Count,Total_Crime_Count,Sectors,Distinct_Longitudes,Distinct_Latitudes,crime_rate,ln_crime_rate,SHORTEST_DISTANCE_TO_LRT_METERS,SHORTEST_DISTANCE_TO_POLICE_METERS,age_75_plus_percentage,male_percentage,TotalPermits,calgary_cer_unemployment_rate,canada_unemployment_rate,calgary_cma_average_hourly_wage_rate,CLASS_CODE,COMM_NAME,property_assessment_median
312,MAYLAND HEIGHTS,MAL,2019,5961,224,NORTHEAST,-114.0133147,51.06083346,3757.758765,8.231577986,1700.504395,1798.729858,6.75,50.27,40,0.0725,0.057,33.05,1,"""MAYLAND HEIGHTS""",414000
313,MANCHESTER,MAN,2019,1025,138,CENTRE,-114.0666538,51.00624268,13463.41463,9.507731259,1050.203735,1024.354492,2.93,59.02,17,0.0725,0.057,33.05,1,MANCHESTER,239750
314,MCKENZIE LAKE,MCK,2019,13406,132,SOUTHEAST,-113.9881813,50.91487825,984.6337461,6.892269741,5796.103027,5074.607422,2.56,50.29,45,0.0725,0.057,33.05,1,"""MCKENZIE LAKE""",480000
315,MCKENZIE TOWNE,MCT,2019,18283,267,SOUTHEAST,-113.9614787,50.91714499,1460.373024,7.286447178,7682.398926,6961.385742,2.93,49.23,85,0.0725,0.057,33.05,1,"""MCKENZIE TOWNE""",328500
316,MEADOWLARK PARK,MEA,2019,644,219,CENTRE,-114.0773517,50.99785784,34006.21118,10.43429847,816.1914063,375.4284058,5.8,50.63,31,0.0725,0.057,33.05,1,"""MEADOWLARK PARK""",629000
317,MIDNAPORE,MID,2019,7270,157,SOUTH,-114.057604,50.91559355,2159.559835,7.6776597,1104.305054,833.2516479,9.59,47.68,49,0.0725,0.057,33.05,1,MIDNAPORE,380000
318,MISSION,MIS,2019,4598,333,CENTRE,-114.0680826,51.03315776,7242.279252,8.88769125,529.6557617,1924.647461,6.16,47.93,32,0.0725,0.057,33.05,1,MISSION,215500
319,MILLRISE,MLR,2019,6900,93,SOUTH,-114.0849037,50.91704529,1347.826087,7.206248268,1073.380859,2121.651611,5.63,47.96,14,0.0725,0.057,33.05,1,MILLRISE,346500
320,MONTGOMERY,MON,2019,4515,245,NORTHWEST,-114.1622482,51.07107614,5426.356589,8.59902321,2770.517822,3741.958252,4.9,49.17,98,0.0725,0.057,33.05,1,MONTGOMERY,458000
321,MOUNT PLEASANT,MOP,2019,5889,314,CENTRE,-114.07603,51.07423791,5331.974868,8.581476968,1601.459473,2325.557373,2.89,51.39,114,0.0725,0.057,33.05,1,"""MOUNT PLEASANT""",627500
322,MONTEREY PARK,MOR,2019,10372,163,NORTHEAST,-113.926851,51.08145439,1571.538758,7.359810519,3865.305908,3814.747314,5.15,50.01,36,0.0725,0.057,33.05,1,"""MONTEREY PARK""",375500
323,MARLBOROUGH PARK,MPK,2019,8523,290,NORTHEAST,-113.9467171,51.0596885,3402.557785,8.132282717,2450.390137,2882.638428,4.1,51.58,69,0.0725,0.057,33.05,1,"""MARLBOROUGH PARK""",328000
324,MAPLE RIDGE,MPL,2019,1916,61,SOUTH,-114.034689,50.95763758,3183.716075,8.065804371,2814.407227,5160.57373,11.61,49.95,33,0.0725,0.057,33.05,1,"""MAPLE RIDGE""",509500
325,MARLBOROUGH,MRL,2019,9162,375,NORTHEAST,-113.9699877,51.05954228,4092.992796,8.317031716,829.4334106,1282.852783,5.52,52.58,61,0.0725,0.057,33.05,1,MARLBOROUGH,336500
326,MARTINDALE,MRT,2019,14245,327,NORTHEAST,-113.9583871,51.11791373,2295.542296,7.738724389,664.4563599,1212.288574,1.36,52.52,113,0.0725,0.057,33.05,1,MARTINDALE,341500
327,NEW BRIGHTON,NEB,2019,13103,137,SOUTHEAST,-113.9452495,50.92206402,1045.562085,6.9523099,8864.192383,8181.371094,0.72,50.36,86,0.0725,0.057,33.05,1,"""NEW BRIGHTON""",437000
328,NORTH GLENMORE PARK,NGM,2019,2391,64,WEST,-114.1122561,51.00142837,2676.704308,7.892341581,3290.15918,2847.741943,8.04,50.72,54,0.0725,0.057,33.05,1,"""NORTH GLENMORE PARK""",644000
329,NORTH HAVEN UPPER,NHU,2019,599,6,NORTH,-114.0853543,51.10440179,1001.669449,6.909423336,3596.265625,1393.364502,8.91,51.93,5,0.0725,0.057,33.05,1,"""NORTH HAVEN UPPER""",495000
330,NORTH HAVEN,NHV,2019,2359,44,NORTH,-114.0894206,51.09594155,1865.197117,7.531122019,3088.384766,766.4851685,10.75,49.83,18,0.0725,0.057,33.05,1,"""NORTH HAVEN""",477000
331,NOLAN HILL,NOL,2019,7505,64,NORTH,-114.1663172,51.17529369,852.7648235,6.748483804,6593.986816,10471.89355,0.64,49.85,159,0.0725,0.057,33.05,1,"""NOLAN HILL""",491500
332,OAKRIDGE,OAK,2019,5690,90,SOUTH,-114.1296138,50.9696628,1581.72232,7.366269608,3777.552979,5089.601563,8.71,49.31,29,0.0725,0.057,33.05,1,OAKRIDGE,504000
333,OGDEN,OGD,2019,8576,233,SOUTHEAST,-114.0124423,50.99187834,2716.884328,7.907241035,3861.442383,4304.75,5.03,53.66,66,0.0725,0.057,33.05,1,OGDEN,327000
334,PALLISER,PAL,2019,3672,81,SOUTH,-114.1121589,50.96676703,2205.882353,7.698882868,2517.656982,4438.820801,15.4,46.46,25,0.0725,0.057,33.05,1,PALLISER,315000
335,PANORAMA HILLS,PAN,2019,25710,251,NORTH,-114.0880634,51.15971101,976.2738234,6.883743104,8058.263184,6027.687988,2.28,49.5,146,0.0725,0.057,33.05,1,"""PANORAMA HILLS""",466000
336,PATTERSON,PAT,2019,4202,88,WEST,-114.1771423,51.06393988,2094.240838,7.646946398,2897.751709,3387.686279,7.8,47.16,19,0.0725,0.057,33.05,1,PATTERSON,343000
337,PENBROOKE MEADOWS,PEN,2019,8554,273,EAST,-113.9476872,51.04585329,3191.489362,8.068242971,2759.438721,3356.741455,4.1,52.57,31,0.0725,0.057,33.05,1,"""PENBROOKE MEADOWS""",286500
338,PINERIDGE,PIN,2019,10022,348,NORTHEAST,-113.946765,51.07425976,3472.360806,8.152589989,2449.286621,3144.901855,4.88,50.22,46,0.0725,0.057,33.05,1,PINERIDGE,315500
339,PARKDALE,PKD,2019,2566,80,CENTRE,-114.1353333,51.05994755,3117.692907,8.044848554,2011.689575,2597.321533,7.94,49.98,28,0.0725,0.057,33.05,1,PARKDALE,663500
340,PARKHILL,PKH,2019,1691,118,CENTRE,-114.0655345,51.01819229,6978.119456,8.850534741,298.7377014,2323.770508,3.38,50.15,22,0.0725,0.057,33.05,1,"""PARKHILL/STANLEY PARK""",571500
341,PARKLAND,PKL,2019,3660,41,SOUTH,-114.0285434,50.9212004,1120.218579,7.021279105,2927.963379,2701.901611,8.44,49.85,35,0.0725,0.057,33.05,1,PARKLAND,554000
342,POINT MCKAY,POI,2019,1343,26,CENTRE,-114.1461487,51.05954117,1935.964259,7.568360806,2257.198242,2411.004639,10.75,46.04,10,0.0725,0.057,33.05,1,"""POINT MCKAY""", 
343,PUMP HILL,PUM,2019,1640,34,SOUTH,-114.1007873,50.9668277,2073.170732,7.636834469,1735.821289,3976.746826,22.34,45.6,11,0.0725,0.057,33.05,1,"""PUMP HILL""",861750
344,QUEENSLAND,QLD,2019,4743,65,SOUTH,-114.0225717,50.93822412,1370.440649,7.222887609,3290.374023,4354.193848,4.89,50.83,23,0.0725,0.057,33.05,1,QUEENSLAND,364500
345,QUEENS PARK VILLAGE,QPK,2019,455,10,CENTRE,-114.0776068,51.08514446,2197.802198,7.695213139,2628.644043,1417.362549,0,48.99, ,0.0725,0.057,33.05,1,"""QUEENS PARK VILLAGE""",2930000
346,RAMSAY,RAM,2019,2158,85,CENTRE,-114.0425323,51.03641206,3938.832252,8.278639576,1051.625732,690.7490234,2.29,52.38,44,0.0725,0.057,33.05,1,RAMSAY,516750
347,RANCHLANDS,RAN,2019,7607,104,NORTHWEST,-114.183647,51.11917908,1367.161825,7.220492209,1641.81604,6899.024414,3.21,49.79,33,0.0725,0.057,33.05,1,RANCHLANDS,352500
348,ROSSCARROCK,RCK,2019,3625,216,WEST,-114.1454859,51.04328787,5958.62069,8.692594305,724.9916382,710.2645874,3.15,49.05,57,0.0725,0.057,33.05,1,ROSSCARROCK,542000
349,ROSEDALE,RDL,2019,1560,37,CENTRE,-114.0782071,51.06268666,2371.794872,7.771402277,835.0904541,3434.749512,4.33,50.42,45,0.0725,0.057,33.05,1,ROSEDALE,986000
350,RED CARPET,RED,2019,1594,38,EAST,-113.9389258,51.04258063,2383.939774,7.776509765,3474.682373,4071.279785,7.24,51.98,16,0.0725,0.057,33.05,1,"""RED CARPET/MOUNTVIEW MOBILE PARK""",142500
351,RENFREW,REN,2019,6582,307,CENTRE,-114.039169,51.05965316,4664.235795,8.447679283,1181.789551,3229.345703,2.43,49.22,145,0.0725,0.057,33.05,1,RENFREW,428000
352,RICHMOND,RIC,2019,4962,203,CENTRE,-114.1184203,51.02971029,4091.092301,8.31656728,1408.832642,2489.895996,2.93,51.05,92,0.0725,0.057,33.05,1,RICHMOND,652000
353,RIDEAU PARK,RID,2019,594,33,CENTRE,-114.0741618,51.02487577,5555.555556,8.622553707,1216.763672,2549.429688,7.42,48.57,7,0.0725,0.057,33.05,1,"""RIDEAU PARK""",377000
354,RIVERBEND,RIV,2019,9244,128,SOUTHEAST,-114.0184303,50.97601886,1384.681956,7.233225757,3915.531494,4455.217285,3.52,50.44,56,0.0725,0.057,33.05,1,RIVERBEND,420000
355,ROSEMONT,RMT,2019,1254,27,CENTRE,-114.0900331,51.0783942,2153.110048,7.67466861,1609.568237,1614.646973,6.95,50.2,18,0.0725,0.057,33.05,1,ROSEMONT,620000
356,ROCKY RIDGE,ROC,2019,8398,65,NORTHWEST,-114.2459079,51.14407648,773.993808,6.651563874,1519.866943,12167.25195,6.09,48.57,49,0.0725,0.057,33.05,1,"""ROCKY RIDGE""",395500
357,ROXBORO,ROX,2019,422,14,CENTRE,-114.0676448,51.02619585,3317.535545,8.106977481,881.3292236,2070.482422,6.16,53.55,6,0.0725,0.057,33.05,1,ROXBORO,1230000
358,ROYAL OAK,ROY,2019,11706,110,NORTHWEST,-114.2197619,51.14266073,939.6890484,6.845549021,1430.984985,10388.00098,2.25,48.75,64,0.0725,0.057,33.05,1,"""ROYAL OAK""",448500
359,REDSTONE,RSN,2019,5848,70,NORTHEAST,-113.9575028,51.17044617,1196.990424,7.087565706,5016.906738,5193.219238,0.81,50.5,380,0.0725,0.057,33.05,1,REDSTONE,372750
360,RUNDLE,RUN,2019,11688,375,NORTHEAST,-113.9700581,51.07423997,3208.418891,8.073533538,835.1165161,1794.106567,3.7,51.16,45,0.0725,0.057,33.05,1,RUNDLE,350000
361,RUTLAND PARK,RUT,2019,2263,55,WEST,-114.1373606,51.01899099,2430.402121,7.795812005,2046.328857,2195.852783,12.04,48.3,15,0.0725,0.057,33.05,1,"""RUTLAND PARK""",584750
362,SADDLE RIDGE,SAD,2019,22321,358,NORTHEAST,-113.9456225,51.13057324,1603.870794,7.380175233,569.2139893,684.8634033,1.74,50.23,466,0.0725,0.057,33.05,1,"""SADDLE RIDGE""",384000
363,SANDSTONE VALLEY,SAN,2019,5904,60,NORTH,-114.0949625,51.13773284,1016.260163,6.923884661,5968.245117,4999.72168,5.71,49.4,31,0.0725,0.057,33.05,1,"""SANDSTONE VALLEY""",423500
364,SCARBORO,SCA,2019,931,48,CENTRE,-114.1071798,51.04076553,5155.746509,8.547867199,720.8254395,3107.416504,4.2,51.78,15,0.0725,0.057,33.05,1,SCARBORO,1000000
365,SCENIC ACRES,SCE,2019,8067,84,NORTHWEST,-114.217341,51.11270751,1041.279286,6.948205319,1314.463623,8851.4375,7.54,49.37,38,0.0725,0.057,33.05,1,"""SCENIC ACRES""",525000
366,SUNDANCE,SDC,2019,9736,93,SOUTH,-114.0420671,50.90164565,955.2177486,6.861939323,1910.383179,1343.384277,3.62,49.74,54,0.0725,0.057,33.05,1,SUNDANCE,467000
367,SETON,SET,2019,1134,93,SOUTHEAST,-113.9478999,50.87412338,8201.058201,9.012018474,8981.915039,8671.402344,16.4,42.55,314,0.0725,0.057,33.05,1,SETON,244500
368,SAGE HILL,SGH,2019,7924,118,NORTH,-114.1406861,51.17561697,1489.146896,7.305958682,7488.675781,9857.833008,2.12,48.06,251,0.0725,0.057,33.05,1,"""SAGE HILL""",304500
369,SHAGANAPPI,SHG,2019,1626,71,CENTRE,-114.1266523,51.04521136,4366.543665,8.381727052,410.0424194,1902.756104,2.72,50.53,38,0.0725,0.057,33.05,1,SHAGANAPPI,573500
370,SHEPARD INDUSTRIAL,SHI,2019,255,98,SOUTHEAST,-113.9927864,50.96149446,38431.37255,10.5566294,5780.375,6851.881836,9.61,55.02,21,0.0725,0.057,33.05,2,"""SHEPARD INDUSTRIAL""",682500
371,SHAWNESSY,SHN,2019,9368,231,SOUTH,-114.0739255,50.90337066,2465.841161,7.81028827,588.8694458,1086.448608,4.67,50.1,62,0.0725,0.057,33.05,1,SHAWNESSY,390500
372,SHAWNEE SLOPES,SHS,2019,1911,43,SOUTH,-114.085803,50.9261889,2250.130822,7.718743636,955.4318237,2843.977295,15.01,46.38,16,0.0725,0.057,33.05,1,"""SHAWNEE SLOPES""",427000
373,SHERWOOD,SHW,2019,6246,102,NORTH,-114.1520001,51.15999092,1633.045149,7.39820174,5618.982422,8633.541016,1.75,49.51,81,0.0725,0.057,33.05,1,SHERWOOD,545000
374,SIGNAL HILL,SIG,2019,13395,261,WEST,-114.179907,51.02290442,1948.488242,7.57480909,1727.736816,2607.82373,9.72,47.38,64,0.0725,0.057,33.05,1,"""SIGNAL HILL""",535500
375,SILVER SPRINGS,SIL,2019,8679,114,NORTHWEST,-114.1962818,51.10427454,1313.515382,7.18046232,1817.523804,7209.048828,6.37,49.4,74,0.0725,0.057,33.05,1,"""SILVER SPRINGS""",487500
376,SKYVIEW RANCH,SKR,2019,11707,204,NORTHEAST,-113.9583746,51.15612673,1742.547194,7.463103226,3456.336914,3651.623291,2.27,49,90,0.0725,0.057,33.05,1,"""SKYVIEW RANCH""",215750
377,SUNALTA,SNA,2019,3239,265,CENTRE,-114.1014859,51.04295989,8181.537512,9.009635372,263.603302,3534.115234,0.68,52.37,28,0.0725,0.057,33.05,1,SUNALTA,221500
378,SOUTH CALGARY,SOC,2019,4442,211,CENTRE,-114.1020747,51.02680215,4750.112562,8.465923594,2013.035156,3673.001709,1.71,49.7,76,0.0725,0.057,33.05,1,"""SOUTH CALGARY""",381500
379,SOMERSET,SOM,2019,8543,117,SOUTH,-114.0813808,50.89891142,1369.542315,7.222231887,868.0823364,1771.955811,4.64,49.45,30,0.0725,0.057,33.05,1,SOMERSET,389500
380,SOUTHVIEW,SOV,2019,1805,134,EAST,-113.9973392,51.03415221,7423.822715,8.912449394,1402.619019,2894.744385,8.78,53.83,21,0.0725,0.057,33.05,1,SOUTHVIEW,352250
381,SOUTHWOOD,SOW,2019,6246,248,SOUTH,-114.0831943,50.95775881,3970.541146,8.286657673,718.708252,4504.696777,6.09,50.01,82,0.0725,0.057,33.05,1,SOUTHWOOD,408000
382,SPRINGBANK HILL,SPH,2019,9943,116,WEST,-114.208425,51.02661949,1166.649904,7.061891591,1889.054443,4179.947754,2.9,49.76,54,0.0725,0.057,33.05,1,"""SPRINGBANK HILL""",607000
383,SPRUCE CLIFF,SPR,2019,4673,118,WEST,-114.1362778,51.04865971,2525.144447,7.834053547,903.9477539,1543.843506,6.71,46.86,47,0.0725,0.057,33.05,1,"""SPRUCE CLIFF""",221500
384,SADDLE RIDGE INDUSTRIAL,SRI,2019,25,51,NORTHEAST,-113.9757297,51.12518951,204000,12.22587527,995.5325928,2180.80835, , ,9,0.0725,0.057,33.05,2,"""SADDLE RIDGE INDUSTRIAL""",2140000
385,SUNNYSIDE,SSD,2019,4230,252,CENTRE,-114.0790291,51.05641953,5957.446809,8.69239728,375.8202209,4017.590576,1.97,48.76,35,0.0725,0.057,33.05,1,SUNNYSIDE,298000
386,SCARBORO/ SUNALTA WEST,SSW,2019,401,19,CENTRE,-114.114882,51.04220032,4738.154613,8.463403017,710.1702271,2595.236328,7.38,51.91,9,0.0725,0.057,33.05,1,"""SCARBORO/SUNALTA WEST""",883000
387,ST. ANDREWS HEIGHTS,STA,2019,1795,87,CENTRE,-114.1274373,51.06391056,4846.796657,8.486073283,1140.519165,3323.75415,17.07,47.96,32,0.0725,0.057,33.05,1,"""ST. ANDREWS HEIGHTS""",784000
388,STRATHCONA PARK,STR,2019,6855,94,WEST,-114.1775868,51.04741014,1371.261853,7.223486655,1166.03186,2098.678711,4.87,48.98,38,0.0725,0.057,33.05,1,"""STRATHCONA PARK""",612000
389,SUNRIDGE,SUN,2019,11,355,NORTHEAST,-113.9917006,51.0742216,3227272.727,14.98714798,720.0309448,1329.544312, , ,66,0.0725,0.057,33.05,2,SUNRIDGE,1870000
390,SILVERADO,SVO,2019,7655,76,SOUTH,-114.0712978,50.8829888,992.8151535,6.900544497,1797.299072,2773.337402,1.31,49.61,69,0.0725,0.057,33.05,1,SILVERADO,416000
391,TARADALE,TAR,2019,19026,255,NORTHEAST,-113.9340021,51.11794016,1340.271208,7.200627266,1312.21521,1031.005127,1.55,52.14,111,0.0725,0.057,33.05,1,TARADALE,363500
392,TEMPLE,TEM,2019,10977,358,NORTHEAST,-113.9467677,51.08879459,3261.364672,8.089900998,2463.013916,2205.105469,2.85,51.1,49,0.0725,0.057,33.05,1,TEMPLE,336500
393,THORNCLIFFE,THO,2019,8788,262,NORTH,-114.0687804,51.10310303,2981.338188,8.000127535,4570.599609,2225.55249,6.51,50.56,87,0.0725,0.057,33.05,1,THORNCLIFFE,413000
394,TUSCANY,TUS,2019,19884,115,NORTHWEST,-114.2408862,51.12191109,578.3544558,6.360186926,1443.759521,10721.56641,2.77,49.23,130,0.0725,0.057,33.05,1,TUSCANY,488500
395,TUXEDO PARK,TUX,2019,5326,334,CENTRE,-114.0610449,51.07421777,6271.122794,8.743710692,2448.261963,3067.821533,4.33,50.18,103,0.0725,0.057,33.05,1,"""TUXEDO PARK""",481000
396,UPPER MOUNT ROYAL,UMR,2019,2478,101,CENTRE,-114.0850257,51.02997368,4075.867635,8.31283892,1841.365356,3232.914307,5.67,51.32,35,0.0725,0.057,33.05,1,"""UPPER MOUNT ROYAL""",1540000
397,UNIVERSITY DISTRICT,UND,2019,705,17,NORTHWEST,-114.1449648,51.07385412,2411.347518,7.787941006,1684.162354,4000.280518,0,51.65,15,0.0725,0.057,33.05,1,"""UNIVERSITY DISTRICT""",2640000
398,UNIVERSITY HEIGHTS,UNI,2019,2921,101,NORTHWEST,-114.1330866,51.07040418,3457.719959,8.148364679,1227.028564,3563.725342,5.08,51.05,49,0.0725,0.057,33.05,1,"""UNIVERSITY HEIGHTS""",805000
399,UNIVERSITY OF CALGARY,UOC,2019,2367,26,NORTHWEST,-114.1299338,51.07502079,1098.43684,7.001643393,740.8067017,3067.443359,0,47.86,14,0.0725,0.057,33.05,1,"""UNIVERSITY OF CALGARY""",1600000
400,VALLEY RIDGE,VAL,2019,5585,53,WEST,-114.2512974,51.09538859,948.9704566,6.855377667,4330.820313,9438.545898,6.11,49.38,40,0.0725,0.057,33.05,1,"""VALLEY RIDGE""",534000
401,VARSITY,VAR,2019,12874,304,NORTHWEST,-114.1625068,51.09605377,2361.348454,7.766988114,815.095459,4741.008789,12.74,48.96,141,0.0725,0.057,33.05,1,VARSITY,454750
402,VISTA HEIGHTS,VIS,2019,2370,93,NORTHEAST,-114.0177052,51.07193318,3924.050633,8.274879724,2551.396484,2342.014404,3.34,50.04,9,0.0725,0.057,33.05,1,"""VISTA HEIGHTS""",355500
403,WALDEN,WAL,2019,6228,73,SOUTH,-114.0326195,50.87040629,1172.125883,7.066574373,4085.29126,4459.658203,5.02,48.05,300,0.0725,0.057,33.05,1,WALDEN,376500
404,WOODBINE,WBN,2019,8866,128,SOUTH,-114.1296282,50.94023326,1443.717573,7.274976714,4120.51416,6244.878906,4.55,50.51,31,0.0725,0.057,33.05,1,WOODBINE,445000
405,WESTGATE,WGT,2019,3202,48,WEST,-114.1585939,51.04417785,1499.063086,7.312595582,757.2023315,840.7418823,6.07,48.42,28,0.0725,0.057,33.05,1,WESTGATE,525500
406,WHITEHORN,WHI,2019,12019,319,NORTHEAST,-113.9700682,51.08877987,2654.130959,7.883872558,873.4872437,1257.784546,4.66,51.86,56,0.0725,0.057,33.05,1,WHITEHORN,341000
407,WEST HILLHURST,WHL,2019,6447,202,CENTRE,-114.1151585,51.05507951,3133.240267,8.049822977,1371.124878,3160.488525,3.75,49.6,113,0.0725,0.057,33.05,1,"""WEST HILLHURST""",702500
408,WILLOW PARK,WIL,2019,5328,266,SOUTH,-114.0561955,50.9566238,4992.492492,8.515690562,1308.5802,4695.03125,10.41,50.06,90,0.0725,0.057,33.05,1,"""WILLOW PARK""",503000
409,WINSTON HEIGHTS/MOUNTVIEW,WIN,2019,3635,206,CENTRE,-114.0418487,51.0752988,5667.125172,8.642437244,2921.00415,4040.599854,6.64,51.43,68,0.0725,0.057,33.05,1,"""WINSTON HEIGHTS/MOUNTVIEW""",556750
410,WILDWOOD,WLD,2019,2709,65,WEST,-114.1585386,51.05825825,2399.409376,7.782977893,2276.291016,2293.37915,6.87,48.92,52,0.0725,0.057,33.05,1,WILDWOOD,660500
411,WINDSOR PARK,WND,2019,4584,201,CENTRE,-114.0835522,51.00504544,4384.816754,8.385903115,1542.52832,1151.949951,5.42,48.88,22,0.0725,0.057,33.05,1,"""WINDSOR PARK""",224500
412,WOODLANDS,WOO,2019,6002,131,SOUTH,-114.1061596,50.94112398,2182.605798,7.688274762,2549.984131,5192.589355,5.09,49.16,23,0.0725,0.057,33.05,1,WOODLANDS,435000
413,WEST SPRINGS,WSP,2019,10758,109,WEST,-114.2061707,51.0597831,1013.199479,6.920868404,2777.680176,4518.953613,1.59,49.09,128,0.0725,0.057,33.05,1,"""WEST SPRINGS""",635500
414,ABBEYDALE,ABB,2020,5957,106,NORTHEAST,-113.9278039,51.05941501,1779.419171,7.484042281,3768.14209,4199.871582,2.2,51.35,37,0.1125,0.0935,34.85,1,ABBEYDALE,289250
415,ACADIA,ACA,2020,10520,334,SOUTH,-114.053696,50.97241507,3174.904943,8.063032972,1568.291382,3086.125977,9.07,50.57,114,0.1125,0.0935,34.85,1,ACADIA,387500
416,ALBERT PARK/RADISSON HEIGHTS,ALB,2020,6997,318,EAST,-113.9967779,51.04453295,4544.804916,8.421740083,389.9811707,2099.138428,3.71,51.91,81,0.1125,0.0935,34.85,1,"""ALBERT PARK/RADISSON HEIGHTS""",300500
417,ALTADORE,ALT,2020,6942,222,CENTRE,-114.1007824,51.01595412,3197.92567,8.07025765,2836.883789,2916.125732,2.28,48.98,114,0.1125,0.0935,34.85,1,ALTADORE,724500
418,APPLEWOOD PARK,APP,2020,6981,111,EAST,-113.9278103,51.04487483,1590.030082,7.371508214,4053.160889,4619.529785,2.9,50.81,26,0.1125,0.0935,34.85,1,"""APPLEWOOD PARK""",342000
419,ARBOUR LAKE,ARB,2020,10619,186,NORTHWEST,-114.207675,51.13259471,1751.577361,7.46827201,1132.820679,9085.507813,8.37,48.77,97,0.1125,0.0935,34.85,1,"""ARBOUR LAKE""",441000
420,ASPEN WOODS,ASP,2020,9446,99,WEST,-114.2078018,51.04518148,1048.062672,6.954698665,1643.640991,4024.091553,2.41,49.35,71,0.1125,0.0935,34.85,1,"""ASPEN WOODS""",743500
421,AUBURN BAY,AUB,2020,17607,162,SOUTHEAST,-113.9578173,50.89270535,920.0886011,6.824469971,7785.311523,7251.579102,1.22,49.58,188,0.1125,0.0935,34.85,1,"""AUBURN BAY""",420000
422,BONAVISTA DOWNS,BDO,2020,928,6,SOUTH,-114.0315055,50.94373043,646.5517241,6.471653201,2820.298584,4550.981445,4.97,52.76,11,0.1125,0.0935,34.85,1,"""BONAVISTA DOWNS""",399000
423,BEDDINGTON HEIGHTS,BED,2020,11514,208,NORTH,-114.0849111,51.13164399,1806.496439,7.499144579,5936.874023,4046.490967,4.01,49.87,83,0.1125,0.0935,34.85,1,"""BEDDINGTON HEIGHTS""",340000
424,BEL-AIRE,BEL,2020,390,6,CENTRE,-114.0889343,50.99944255,1538.461538,7.338538195,1644.597168,1201.698486,7.61,48.29, ,0.1125,0.0935,34.85,1,BEL-AIRE,1675000
425,BELMONT,BLM,2020,86,2,SOUTH,-114.05528,50.86872242,2325.581395,7.751725349,3510.892334,4241.003418,0,54.72,139,0.1125,0.0935,34.85,1,BELMONT,213000
426,BELTLINE,BLN,2020,25129,1603,CENTRE,-114.0551861,51.03743796,6379.083927,8.760779781,252.4011383,1374.914185,2.61,51.94,177,0.1125,0.0935,34.85,1,BELTLINE,174500
427,BANFF TRAIL,BNF,2020,4153,229,CENTRE,-114.1151284,51.07421633,5514.086203,8.615061225,364.3628235,2400.795898,3.38,54.38,79,0.1125,0.0935,34.85,1,"""BANFF TRAIL""",591500
428,BANKVIEW,BNK,2020,5256,220,CENTRE,-114.1004832,51.03412753,4185.692542,8.339427451,1195.243042,3557.627686,1.43,51.27,42,0.1125,0.0935,34.85,1,BANKVIEW,216500
429,BOWNESS,BOW,2020,11150,370,NORTHWEST,-114.1883885,51.08334629,3318.38565,8.107233694,2947.017822,5656.612305,5.86,49.83,158,0.1125,0.0935,34.85,1,BOWNESS,361500
430,BRAESIDE,BRA,2020,5805,104,SOUTH,-114.1063659,50.95600269,1791.559001,7.49084147,2238.37915,5220.638672,5.86,49.13,29,0.1125,0.0935,34.85,1,BRAESIDE,362500
431,BRIDGELAND/RIVERSIDE,BRD,2020,6835,384,CENTRE,-114.0350798,51.05055069,5618.141917,8.633756268,405.9263611,2232.391357,8.45,47.93,98,0.1125,0.0935,34.85,1,BRIDGELAND/RIVERSIDE,272500
432,BRENTWOOD,BRE,2020,7267,237,NORTHWEST,-114.1359192,51.09606554,3261.318288,8.089886775,1067.33728,2672.572266,7.76,50.28,102,0.1125,0.0935,34.85,1,BRENTWOOD,467500
433,BRIDLEWOOD,BRI,2020,12641,82,SOUTH,-114.1102262,50.89925717,648.6828574,6.474943934,2891.437012,3660.810303,2.04,49.22,58,0.1125,0.0935,34.85,1,BRIDLEWOOD,355000
434,BRITANNIA,BRT,2020,690,21,CENTRE,-114.0862774,51.012644,3043.478261,8.020756305,1826.200806,1942.412964,6.13,49.64,11,0.1125,0.0935,34.85,1,BRITANNIA,1480000
435,BELVEDERE,BVD,2020,41,13,EAST,-113.904983,51.03782747,31707.31707,10.36430276,5832.635742,6402.229004, , ,10,0.1125,0.0935,34.85,1,BELVEDERE,348000
436,BAYVIEW,BYV,2020,751,13,SOUTH,-114.1139643,50.97463476,1731.0253,7.456469171,2804.05835,3896.888916,8.26,47.8,9,0.1125,0.0935,34.85,1,BAYVIEW,909500
437,CAMBRIAN HEIGHTS,CAM,2020,2036,43,CENTRE,-114.089379,51.08433917,2111.984283,7.655383203,2403.767578,966.4053345,6.64,50.39,41,0.1125,0.0935,34.85,1,"""CAMBRIAN HEIGHTS""",526000
438,CANYON MEADOWS,CAN,2020,7624,156,SOUTH,-114.0820063,50.94095721,2046.16999,7.623725027,1083.845825,4238.694336,5.6,50.22,75,0.1125,0.0935,34.85,1,"""CANYON MEADOWS""",406500
439,CAPITOL HILL,CAP,2020,4744,253,CENTRE,-114.0946312,51.07266528,5333.052277,8.581679013,1054.197754,2118.908447,3.7,52.74,107,0.1125,0.0935,34.85,1,"""CAPITOL HILL""",549500
440,CARRINGTON,CAR,2020,572,14,NORTH,-114.0887654,51.18568826,2447.552448,7.802843803,10042.7832,6946.60498,1.24,49.82,282,0.1125,0.0935,34.85,1,CARRINGTON,357500
